model,object,target_class,n_views_in_game,coalition_size,coalition_view_ids,coalition_filenames,detection,best_strict_quality,noisy_or_best_iou,best_matched_confidence,best_matched_iou,noisy_or_confidence
synthetic_m4,la_souris_truck,whitevan,10,4,1|3|8|9,2026-07-12 21.05.57.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.01.51.jpg,1.0,0.380082758693959,0.380082758693959,0.4828849136829376,0.7871083728731303,0.4828849136829376
synthetic_m4,la_souris_truck,whitevan,10,4,1|3|8|10,2026-07-12 21.05.57.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8576917848012953,0.9713618159294128,0.8705844766688557,0.9851907629723744
synthetic_m4,la_souris_truck,whitevan,10,4,1|3|9|10,2026-07-12 21.05.57.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.51.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8576917848012953,0.9713618159294128,0.8705844766688557,0.9851907629723744
synthetic_m4,la_souris_truck,whitevan,10,4,1|4|5|6,2026-07-12 21.05.57.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.33.jpg,1.0,0.43788815834608197,0.6458627444515781,0.6529809832572937,0.7871083728731303,0.8205512312034333
synthetic_m4,la_souris_truck,whitevan,10,4,1|4|5|7,2026-07-12 21.05.57.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.49.jpg,1.0,0.43788815834608197,0.6458627444515781,0.6529809832572937,0.7871083728731303,0.8205512312034333
synthetic_m4,la_souris_truck,whitevan,10,4,1|4|5|8,2026-07-12 21.05.57.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.50.jpg,1.0,0.43788815834608197,0.6458627444515781,0.6529809832572937,0.7871083728731303,0.8205512312034333
synthetic_m4,la_souris_truck,whitevan,10,4,1|4|5|9,2026-07-12 21.05.57.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.51.jpg,1.0,0.43788815834608197,0.6458627444515781,0.6529809832572937,0.7871083728731303,0.8205512312034333
synthetic_m4,la_souris_truck,whitevan,10,4,1|4|5|10,2026-07-12 21.05.57.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8661104674138081,0.9713618159294128,0.8705844766688557,0.9948609131279637
synthetic_m4,la_souris_truck,whitevan,10,4,1|4|6|7,2026-07-12 21.05.57.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.49.jpg,1.0,0.43788815834608197,0.6458627444515781,0.6529809832572937,0.7871083728731303,0.8205512312034333
synthetic_m4,la_souris_truck,whitevan,10,4,1|4|6|8,2026-07-12 21.05.57.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.50.jpg,1.0,0.43788815834608197,0.6458627444515781,0.6529809832572937,0.7871083728731303,0.8205512312034333
synthetic_m4,la_souris_truck,whitevan,10,4,1|4|6|9,2026-07-12 21.05.57.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.51.jpg,1.0,0.43788815834608197,0.6458627444515781,0.6529809832572937,0.7871083728731303,0.8205512312034333
synthetic_m4,la_souris_truck,whitevan,10,4,1|4|6|10,2026-07-12 21.05.57.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8661104674138081,0.9713618159294128,0.8705844766688557,0.9948609131279637
synthetic_m4,la_souris_truck,whitevan,10,4,1|4|7|8,2026-07-12 21.05.57.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.50.jpg,1.0,0.43788815834608197,0.6458627444515781,0.6529809832572937,0.7871083728731303,0.8205512312034333
synthetic_m4,la_souris_truck,whitevan,10,4,1|4|7|9,2026-07-12 21.05.57.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.51.jpg,1.0,0.43788815834608197,0.6458627444515781,0.6529809832572937,0.7871083728731303,0.8205512312034333
synthetic_m4,la_souris_truck,whitevan,10,4,1|4|7|10,2026-07-12 21.05.57.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8661104674138081,0.9713618159294128,0.8705844766688557,0.9948609131279637
synthetic_m4,la_souris_truck,whitevan,10,4,1|4|8|9,2026-07-12 21.05.57.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.01.51.jpg,1.0,0.43788815834608197,0.6458627444515781,0.6529809832572937,0.7871083728731303,0.8205512312034333
synthetic_m4,la_souris_truck,whitevan,10,4,1|4|8|10,2026-07-12 21.05.57.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8661104674138081,0.9713618159294128,0.8705844766688557,0.9948609131279637
synthetic_m4,la_souris_truck,whitevan,10,4,1|4|9|10,2026-07-12 21.05.57.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.51.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8661104674138081,0.9713618159294128,0.8705844766688557,0.9948609131279637
synthetic_m4,la_souris_truck,whitevan,10,4,1|5|6|7,2026-07-12 21.05.57.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.49.jpg,1.0,0.380082758693959,0.380082758693959,0.4828849136829376,0.7871083728731303,0.4828849136829376
synthetic_m4,la_souris_truck,whitevan,10,4,1|5|6|8,2026-07-12 21.05.57.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.50.jpg,1.0,0.380082758693959,0.380082758693959,0.4828849136829376,0.7871083728731303,0.4828849136829376
synthetic_m4,la_souris_truck,whitevan,10,4,1|5|6|9,2026-07-12 21.05.57.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.51.jpg,1.0,0.380082758693959,0.380082758693959,0.4828849136829376,0.7871083728731303,0.4828849136829376
synthetic_m4,la_souris_truck,whitevan,10,4,1|5|6|10,2026-07-12 21.05.57.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8576917848012953,0.9713618159294128,0.8705844766688557,0.9851907629723744
synthetic_m4,la_souris_truck,whitevan,10,4,1|5|7|8,2026-07-12 21.05.57.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.50.jpg,1.0,0.380082758693959,0.380082758693959,0.4828849136829376,0.7871083728731303,0.4828849136829376
synthetic_m4,la_souris_truck,whitevan,10,4,1|5|7|9,2026-07-12 21.05.57.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.51.jpg,1.0,0.380082758693959,0.380082758693959,0.4828849136829376,0.7871083728731303,0.4828849136829376
synthetic_m4,la_souris_truck,whitevan,10,4,1|5|7|10,2026-07-12 21.05.57.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8576917848012953,0.9713618159294128,0.8705844766688557,0.9851907629723744
synthetic_m4,la_souris_truck,whitevan,10,4,1|5|8|9,2026-07-12 21.05.57.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.01.51.jpg,1.0,0.380082758693959,0.380082758693959,0.4828849136829376,0.7871083728731303,0.4828849136829376
synthetic_m4,la_souris_truck,whitevan,10,4,1|5|8|10,2026-07-12 21.05.57.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8576917848012953,0.9713618159294128,0.8705844766688557,0.9851907629723744
synthetic_m4,la_souris_truck,whitevan,10,4,1|5|9|10,2026-07-12 21.05.57.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.51.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8576917848012953,0.9713618159294128,0.8705844766688557,0.9851907629723744
synthetic_m4,la_souris_truck,whitevan,10,4,1|6|7|8,2026-07-12 21.05.57.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.50.jpg,1.0,0.380082758693959,0.380082758693959,0.4828849136829376,0.7871083728731303,0.4828849136829376
synthetic_m4,la_souris_truck,whitevan,10,4,1|6|7|9,2026-07-12 21.05.57.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.51.jpg,1.0,0.380082758693959,0.380082758693959,0.4828849136829376,0.7871083728731303,0.4828849136829376
synthetic_m4,la_souris_truck,whitevan,10,4,1|6|7|10,2026-07-12 21.05.57.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8576917848012953,0.9713618159294128,0.8705844766688557,0.9851907629723744
synthetic_m4,la_souris_truck,whitevan,10,4,1|6|8|9,2026-07-12 21.05.57.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.01.51.jpg,1.0,0.380082758693959,0.380082758693959,0.4828849136829376,0.7871083728731303,0.4828849136829376
synthetic_m4,la_souris_truck,whitevan,10,4,1|6|8|10,2026-07-12 21.05.57.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8576917848012953,0.9713618159294128,0.8705844766688557,0.9851907629723744
synthetic_m4,la_souris_truck,whitevan,10,4,1|6|9|10,2026-07-12 21.05.57.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.51.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8576917848012953,0.9713618159294128,0.8705844766688557,0.9851907629723744
synthetic_m4,la_souris_truck,whitevan,10,4,1|7|8|9,2026-07-12 21.05.57.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.01.51.jpg,1.0,0.380082758693959,0.380082758693959,0.4828849136829376,0.7871083728731303,0.4828849136829376
synthetic_m4,la_souris_truck,whitevan,10,4,1|7|8|10,2026-07-12 21.05.57.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8576917848012953,0.9713618159294128,0.8705844766688557,0.9851907629723744
synthetic_m4,la_souris_truck,whitevan,10,4,1|7|9|10,2026-07-12 21.05.57.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.51.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8576917848012953,0.9713618159294128,0.8705844766688557,0.9851907629723744
synthetic_m4,la_souris_truck,whitevan,10,4,1|8|9|10,2026-07-12 21.05.57.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.01.51.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8576917848012953,0.9713618159294128,0.8705844766688557,0.9851907629723744
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|4|5,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.30.jpg,1.0,0.6356431436660991,0.7132544343835135,0.842469334602356,0.7545000364507292,0.9453338633868853
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|4|6,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.33.jpg,1.0,0.6356431436660991,0.7132544343835135,0.842469334602356,0.7545000364507292,0.9453338633868853
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|4|7,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.49.jpg,1.0,0.6356431436660991,0.7132544343835135,0.842469334602356,0.7545000364507292,0.9453338633868853
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|4|8,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.50.jpg,1.0,0.6356431436660991,0.7132544343835135,0.842469334602356,0.7545000364507292,0.9453338633868853
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|4|9,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.51.jpg,1.0,0.6356431436660991,0.7132544343835135,0.842469334602356,0.7545000364507292,0.9453338633868853
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|4|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8692215428199084,0.9713618159294128,0.8705844766688557,0.9984344611172458
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|5|6,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.33.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|5|7,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.49.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|5|8,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.50.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|5|9,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.51.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|5|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.86665692865797,0.9713618159294128,0.8705844766688557,0.9954886078075802
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|6|7,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.49.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|6|8,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.50.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|6|9,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.51.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|6|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.86665692865797,0.9713618159294128,0.8705844766688557,0.9954886078075802
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|7|8,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.50.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|7|9,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.51.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|7|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.86665692865797,0.9713618159294128,0.8705844766688557,0.9954886078075802
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|8|9,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.01.51.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|8|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.86665692865797,0.9713618159294128,0.8705844766688557,0.9954886078075802
synthetic_m4,la_souris_truck,whitevan,10,4,2|3|9|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.06.jpg|2026-07-12 21.01.51.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.86665692865797,0.9713618159294128,0.8705844766688557,0.9954886078075802
synthetic_m4,la_souris_truck,whitevan,10,4,2|4|5|6,2026-07-12 21.06.04.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.33.jpg,1.0,0.6356431436660991,0.7132544343835135,0.842469334602356,0.7545000364507292,0.9453338633868853
synthetic_m4,la_souris_truck,whitevan,10,4,2|4|5|7,2026-07-12 21.06.04.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.49.jpg,1.0,0.6356431436660991,0.7132544343835135,0.842469334602356,0.7545000364507292,0.9453338633868853
synthetic_m4,la_souris_truck,whitevan,10,4,2|4|5|8,2026-07-12 21.06.04.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.50.jpg,1.0,0.6356431436660991,0.7132544343835135,0.842469334602356,0.7545000364507292,0.9453338633868853
synthetic_m4,la_souris_truck,whitevan,10,4,2|4|5|9,2026-07-12 21.06.04.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.51.jpg,1.0,0.6356431436660991,0.7132544343835135,0.842469334602356,0.7545000364507292,0.9453338633868853
synthetic_m4,la_souris_truck,whitevan,10,4,2|4|5|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8692215428199084,0.9713618159294128,0.8705844766688557,0.9984344611172458
synthetic_m4,la_souris_truck,whitevan,10,4,2|4|6|7,2026-07-12 21.06.04.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.49.jpg,1.0,0.6356431436660991,0.7132544343835135,0.842469334602356,0.7545000364507292,0.9453338633868853
synthetic_m4,la_souris_truck,whitevan,10,4,2|4|6|8,2026-07-12 21.06.04.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.50.jpg,1.0,0.6356431436660991,0.7132544343835135,0.842469334602356,0.7545000364507292,0.9453338633868853
synthetic_m4,la_souris_truck,whitevan,10,4,2|4|6|9,2026-07-12 21.06.04.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.51.jpg,1.0,0.6356431436660991,0.7132544343835135,0.842469334602356,0.7545000364507292,0.9453338633868853
synthetic_m4,la_souris_truck,whitevan,10,4,2|4|6|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8692215428199084,0.9713618159294128,0.8705844766688557,0.9984344611172458
synthetic_m4,la_souris_truck,whitevan,10,4,2|4|7|8,2026-07-12 21.06.04.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.50.jpg,1.0,0.6356431436660991,0.7132544343835135,0.842469334602356,0.7545000364507292,0.9453338633868853
synthetic_m4,la_souris_truck,whitevan,10,4,2|4|7|9,2026-07-12 21.06.04.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.51.jpg,1.0,0.6356431436660991,0.7132544343835135,0.842469334602356,0.7545000364507292,0.9453338633868853
synthetic_m4,la_souris_truck,whitevan,10,4,2|4|7|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8692215428199084,0.9713618159294128,0.8705844766688557,0.9984344611172458
synthetic_m4,la_souris_truck,whitevan,10,4,2|4|8|9,2026-07-12 21.06.04.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.01.51.jpg,1.0,0.6356431436660991,0.7132544343835135,0.842469334602356,0.7545000364507292,0.9453338633868853
synthetic_m4,la_souris_truck,whitevan,10,4,2|4|8|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8692215428199084,0.9713618159294128,0.8705844766688557,0.9984344611172458
synthetic_m4,la_souris_truck,whitevan,10,4,2|4|9|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.23.jpg|2026-07-12 21.01.51.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.8692215428199084,0.9713618159294128,0.8705844766688557,0.9984344611172458
synthetic_m4,la_souris_truck,whitevan,10,4,2|5|6|7,2026-07-12 21.06.04.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.49.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|5|6|8,2026-07-12 21.06.04.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.50.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|5|6|9,2026-07-12 21.06.04.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.51.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|5|6|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.86665692865797,0.9713618159294128,0.8705844766688557,0.9954886078075802
synthetic_m4,la_souris_truck,whitevan,10,4,2|5|7|8,2026-07-12 21.06.04.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.50.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|5|7|9,2026-07-12 21.06.04.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.51.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|5|7|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.86665692865797,0.9713618159294128,0.8705844766688557,0.9954886078075802
synthetic_m4,la_souris_truck,whitevan,10,4,2|5|8|9,2026-07-12 21.06.04.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.01.51.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|5|8|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.86665692865797,0.9713618159294128,0.8705844766688557,0.9954886078075802
synthetic_m4,la_souris_truck,whitevan,10,4,2|5|9|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.30.jpg|2026-07-12 21.01.51.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.86665692865797,0.9713618159294128,0.8705844766688557,0.9954886078075802
synthetic_m4,la_souris_truck,whitevan,10,4,2|6|7|8,2026-07-12 21.06.04.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.50.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|6|7|9,2026-07-12 21.06.04.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.51.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|6|7|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.86665692865797,0.9713618159294128,0.8705844766688557,0.9954886078075802
synthetic_m4,la_souris_truck,whitevan,10,4,2|6|8|9,2026-07-12 21.06.04.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.01.51.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|6|8|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.86665692865797,0.9713618159294128,0.8705844766688557,0.9954886078075802
synthetic_m4,la_souris_truck,whitevan,10,4,2|6|9|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.33.jpg|2026-07-12 21.01.51.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.86665692865797,0.9713618159294128,0.8705844766688557,0.9954886078075802
synthetic_m4,la_souris_truck,whitevan,10,4,2|7|8|9,2026-07-12 21.06.04.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.01.51.jpg,1.0,0.6356431436660991,0.6356431436660991,0.842469334602356,0.7545000364507292,0.842469334602356
synthetic_m4,la_souris_truck,whitevan,10,4,2|7|8|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.50.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.86665692865797,0.9713618159294128,0.8705844766688557,0.9954886078075802
synthetic_m4,la_souris_truck,whitevan,10,4,2|7|9|10,2026-07-12 21.06.04.jpg|2026-07-12 21.01.49.jpg|2026-07-12 21.01.51.jpg|2026-07-12 21.05.27.jpg,1.0,0.8456525181770173,0.86665692865797,0.9713618159294128,0.8705844766688557,0.9954886078075802
